"Hồ Quý Ly và thành Tây Đô","SC","","","Văn Hóa Thông Tin","2008","159tr; 20.5cm","Kể chuyện lịch sử Việt Nam","H450Q","Tiếng Việt","H","kk959.7","Kể về cuộc đời và việc xây dựng thành Tây Đô của Hồ Quý Ly","","","<Phạm Hoàng Mạnh Hà><Lưu Ngọc Diệp>","<Lịch sử>","<M.3282.TK>"
"Mai Am công chúa","SC","","","Văn Hóa Thông Tin","2008","111tr; 20.5cm","Kể chuyện nhân vật lịch sử Việt Nam","M103A","Tiếng Việt","H","kk959.7","Kể về cuộc đời cảu Mai Am công chúa, con gái Vua Minh Mệnh","","","<NGUYễN Bích Ngọc><Vũ Ngọc Khánh>","<Lịch sử>","<M.3283.TK>"
"Sóng trào non bảng","SC","","","Văn Hóa Thông Tin","2008","171tr; 20.5cm","Kể chuyện nhân vật lịch sử Việt Nam","S431TR","Tiếng Việt","H","kk959.7","Kể về cuộc đời Phạm Thận Duật,nhân vật lịch sử, người đã thay măt Triều đình ký hiệp ước Patenôtre","","","<Khúc Nhã Vọng>","<Lịch sử>",""
"Những sự tích Việt Nam hay nhất","SC","","","Văn Hóa Thông Tin","2008","195tr; 19cm","","NH556S","Tiếng Việt","H","ddc398.259 7","Tuyển chọn những sự tích Viêt Nam hay nhất","","","<Thu Hương>","<Văn học dân gian>","<D.3285.TK>"
"Tư duy kinh tế Hồ Chí Minh","SC","","","Chính Trị Quốc Gia","2008","262tr; 19cm","","T550D","Tiếng Việt","H","dda335.434 6","Những luận điểm cơ bản của Hồ Chí Minh về một nề kinh tế độc lập -tự chủ và tư duy kinh tế Hồ Chí Minh","","","<Cao Ngọc Thắng>","<Tư tưởng Hồ Chí Minh>","<D.3289.TK><M.3286.TK><M.3287.TK><M.3288.TK>"
"Ca dao Việt Nam về Gia đình","SC","","","Thanh Niên","2008","155tr; 19cm","","C100D","Tiếng Việt","H","dd398.859 7","Tuyển chọn những câu, bài ca dao Việt Nam nói về tình cảm gia đình","","","<Lan Hương>","<Văn học dân gian>","<D.3292.TK><M.3291.TK><C.3293.TK>"
"Một số vấn đề về pháp luật dân sự Việt Nam từ thế kỷ XV đến thời Pháp thuộc","SC","sách tái bản","","Chính Trị Quốc Gia","2008","382tr; 19cm","","M458S","Tiếng Việt","H","ddb340.559 7","Đề cập đến nhiều vấn đề về lịch sử và pháp luật xuyên suốt từ thời Lê đến thời kỳ Pháp thuộc","","","<Bộ Tư Pháp - Viện Nghiên Cứu Khoa Học Pháp lý>","<Lịch sử><Pháp luật>","<D.3295.TK><M.3294.TK>"
"Việt Nam dưới thời Pháp đô hộ","SC","","","Văn học","2008","347tr; 20.5cm","","V308N","Tiếng Việt","H","kk959.703","Tóm tắt lịch sử Việt Nam thời Pháp đô hộ 1858 - 1949","","","<Nguyễn Thế Anh>","<Lịch sử Việt Nam>","<D.3297.TK><M.3296.TK><C.3298.TK>"
"Xây dựng nhóm làm việc = Team Building","SC","","","Tổng Hợp TP.HCM","2008","108tr; 20.5cm","The Sunday Times - Creating Success","X126D","Tiếng Việt","Tp.HCM","dda331","Hương dẫn các kỹ năng xây dựng nhóm làm việc, các nguyên tắc chuyển đổi hoạt động của tổ, nhóm","","","<Bích Nga - Lan Nguyên><Robert B Maddux>","<Kinh tế học>","<D.3300.TK><M.3299.TK>"
"Kỹ năng ra quyết định và giải quyết vấn đề = Decision Making and Proplem Solving Stretegies","SC","","","Tổng Hợp TP.HCM","2008","117tr; 20.5cm","The sunday Times - Creating Success","K600N","Tiếng Việt","Tp.HCM","ggb658.4","Hướng dẫn, rèn luyện kỹ năng cho các nhà Quản lý","","","<Bích Nga -Lan Nguyên><John Adair>","<Quản lý>","<D.3302.TK><M.3301.TK>"
